uniform, euclidean, fixed, 0.900075219745819, 0.8249226795896226
uniform, euclidean, fixed, 4.180082125485492, 0.5248323641405981
triangular, euclidean, fixed, 0.900075219745819, 0.8870944423499105
triangular, euclidean, fixed, 4.180082125485492, 0.6904994147041789
epanechnikov, euclidean, fixed, 0.900075219745819, 0.8757821031724339
epanechnikov, euclidean, fixed, 4.180082125485492, 0.6212364497733747
cosine, euclidean, fixed, 0.900075219745819, 0.87930705241793
cosine, euclidean, fixed, 4.180082125485492, 0.6255730365444707
quartic, euclidean, fixed, 0.900075219745819, 0.8906328285887868
quartic, euclidean, fixed, 4.180082125485492, 0.677549394860233
uniform, chebyshev, fixed, 0.6809117146715296, 0.7768245012249365
uniform, chebyshev, fixed, 3.660781637163676, 0.4782706379033849
triangular, chebyshev, fixed, 0.6809117146715296, 0.859807722001205
triangular, chebyshev, fixed, 3.660781637163676, 0.6602369740859735
epanechnikov, chebyshev, fixed, 0.6809117146715296, 0.8474628779345227
epanechnikov, chebyshev, fixed, 3.660781637163676, 0.6008799309628103
cosine, chebyshev, fixed, 0.6809117146715296, 0.8515391906288803
cosine, chebyshev, fixed, 3.660781637163676, 0.6282013329355428
quartic, chebyshev, fixed, 0.6809117146715296, 0.8675899045421037
quartic, chebyshev, fixed, 3.660781637163676, 0.6332306680360169
uniform, manhattan, fixed, 1.4665997923688907, 0.8693397960200111
uniform, manhattan, fixed, 6.615522149432371, 0.572818093309339
triangular, manhattan, fixed, 1.4665997923688907, 0.9060374652072802
triangular, manhattan, fixed, 6.615522149432371, 0.6944028373639702
epanechnikov, manhattan, fixed, 1.4665997923688907, 0.8977161479000602
epanechnikov, manhattan, fixed, 6.615522149432371, 0.6358467067402761
cosine, manhattan, fixed, 1.4665997923688907, 0.8994600380200866
cosine, manhattan, fixed, 6.615522149432371, 0.650626561390526
quartic, manhattan, fixed, 1.4665997923688907, 0.9090687975289911
quartic, manhattan, fixed, 6.615522149432371, 0.6882106259301146
uniform, euclidean, variable, 1.0, 0.9695132112586575
uniform, euclidean, variable, 21.0, 0.941305608589714
uniform, euclidean, variable, 41.0, 0.9211471574522888
uniform, euclidean, variable, 61.0, 0.8993309321993002
uniform, euclidean, variable, 81.0, 0.889883891181495
uniform, euclidean, variable, 101.0, 0.883389184735121
uniform, euclidean, variable, 121.0, 0.8725083504810319
uniform, euclidean, variable, 141.0, 0.8662640107940012
uniform, euclidean, variable, 161.0, 0.8512650445645433
uniform, euclidean, variable, 181.0, 0.8471603445954253
uniform, euclidean, variable, 201.0, 0.8426326754368691
uniform, euclidean, variable, 221.0, 0.8376716358309623
uniform, euclidean, variable, 241.0, 0.836170951416907
uniform, euclidean, variable, 261.0, 0.8293528511208313
uniform, euclidean, variable, 281.0, 0.8301920281813683
uniform, euclidean, variable, 301.0, 0.8300433701080012
uniform, euclidean, variable, 321.0, 0.832216779914495
uniform, euclidean, variable, 341.0, 0.8318190339491114
uniform, euclidean, variable, 361.0, 0.8295075335959142
uniform, euclidean, variable, 381.0, 0.8283249844603888
uniform, euclidean, variable, 401.0, 0.8255601679797719
uniform, euclidean, variable, 421.0, 0.8235159084375815
uniform, euclidean, variable, 441.0, 0.8208296884046586
uniform, euclidean, variable, 461.0, 0.8171283007822032
uniform, euclidean, variable, 481.0, 0.8139876629464767
uniform, euclidean, variable, 501.0, 0.8079765295142174
uniform, euclidean, variable, 521.0, 0.8008495737647219
uniform, euclidean, variable, 541.0, 0.7991899480326685
uniform, chebyshev, variable, 1.0, 0.9645614575290267
uniform, chebyshev, variable, 21.0, 0.9376319229939545
uniform, chebyshev, variable, 41.0, 0.9096176147705054
uniform, chebyshev, variable, 61.0, 0.8870639177835646
uniform, chebyshev, variable, 81.0, 0.8724381059425185
uniform, chebyshev, variable, 101.0, 0.8631384419067366
uniform, chebyshev, variable, 121.0, 0.8486387248995939
uniform, chebyshev, variable, 141.0, 0.8370424234247655
uniform, chebyshev, variable, 161.0, 0.828429833366848
uniform, chebyshev, variable, 181.0, 0.8227098966184967
uniform, chebyshev, variable, 201.0, 0.8112074423542189
uniform, chebyshev, variable, 221.0, 0.806035624320464
uniform, chebyshev, variable, 241.0, 0.8004337937247555
uniform, chebyshev, variable, 261.0, 0.7992877553871404
uniform, chebyshev, variable, 281.0, 0.7972599111028136
uniform, chebyshev, variable, 301.0, 0.792553006317479
uniform, chebyshev, variable, 321.0, 0.7834575041249405
uniform, chebyshev, variable, 341.0, 0.7841756875841004
uniform, chebyshev, variable, 361.0, 0.7840839751487972
uniform, chebyshev, variable, 381.0, 0.7823266352627113
uniform, chebyshev, variable, 401.0, 0.7802061120393113
uniform, chebyshev, variable, 421.0, 0.7761160634260625
uniform, chebyshev, variable, 441.0, 0.7705301348995532
uniform, chebyshev, variable, 461.0, 0.7669671470088698
uniform, chebyshev, variable, 481.0, 0.7607385243374242
uniform, chebyshev, variable, 501.0, 0.756471229337651
uniform, chebyshev, variable, 521.0, 0.7571636791252707
uniform, chebyshev, variable, 541.0, 0.7540875417230835
uniform, manhattan, variable, 1.0, 0.971038520105311
uniform, manhattan, variable, 21.0, 0.9446556387690691
uniform, manhattan, variable, 41.0, 0.9282043174614629
uniform, manhattan, variable, 61.0, 0.9148014739446739
uniform, manhattan, variable, 81.0, 0.9085928023151912
uniform, manhattan, variable, 101.0, 0.8936461419129226
uniform, manhattan, variable, 121.0, 0.8849485099564997
uniform, manhattan, variable, 141.0, 0.8813175489282337
uniform, manhattan, variable, 161.0, 0.8803394589684783
uniform, manhattan, variable, 181.0, 0.8793606374650987
uniform, manhattan, variable, 201.0, 0.8781365889166334
uniform, manhattan, variable, 221.0, 0.8780616652083341
uniform, manhattan, variable, 241.0, 0.8765077861401901
uniform, manhattan, variable, 261.0, 0.874487250820214
uniform, manhattan, variable, 281.0, 0.8737971779670005
uniform, manhattan, variable, 301.0, 0.8732019207763202
uniform, manhattan, variable, 321.0, 0.8730308892124792
uniform, manhattan, variable, 341.0, 0.873533032735272
uniform, manhattan, variable, 361.0, 0.8723805535043648
uniform, manhattan, variable, 381.0, 0.8709478150811816
uniform, manhattan, variable, 401.0, 0.8684609288106621
uniform, manhattan, variable, 421.0, 0.8639537060693664
uniform, manhattan, variable, 441.0, 0.8626402865694809
uniform, manhattan, variable, 461.0, 0.8614928457018106
uniform, manhattan, variable, 481.0, 0.8567654636675996
uniform, manhattan, variable, 501.0, 0.8556290585367949
uniform, manhattan, variable, 521.0, 0.8540551694662615
uniform, manhattan, variable, 541.0, 0.8489366824059392
triangular, euclidean, variable, 1.0, 0.9756328792947024
triangular, euclidean, variable, 21.0, 0.9638924581509036
